idade;evasao;genero_id;estado_civil_id;formacao_id;departamento_id;faixa_salarial_id;cargo_id;tempo_trabalho;quantidade_empresas_trabalhou;quantidade_anos_trabalhados_anteriormente;faculdade_id;aumento_percentual_do_salario;distancia_de_casa;anos_com_o_atual_gestor;anos_na_empresa;cpf
36;Não;1;0;0;0;12;3;5;1;6;0;13;11;3;6;62330334244
45;Não;1;1;0;0;19;1;0;2;25;0;17;7;0;1;57801232330
35;Não;1;2;1;0;4;1;2;4;5;0;13;1;2;3;39228726397
36;Sim;1;2;1;0;6;1;0;0;2;0;17;9;0;1;52100667354
59;Não;0;0;0;1;10;0;3;7;20;3;11;1;3;4;86893659882
29;Não;1;2;0;0;5;1;4;0;6;0;23;2;4;5;70628717966
31;Não;1;0;1;0;5;1;1;1;1;1;17;1;0;1;26850056373
32;Não;1;2;0;0;12;1;4;1;10;0;17;1;9;10;51105864479
36;Não;0;2;0;0;6;2;0;3;5;0;12;6;0;1;35020543063
31;Não;0;0;0;0;8;3;7;1;11;1;23;8;8;11;24624241311
35;Não;1;0;2;1;8;0;13;0;16;1;14;1;8;15;14386379846
45;Não;1;2;4;0;26;7;0;4;17;1;14;6;0;0;2388879968
37;Não;1;0;1;0;27;7;2;4;16;1;13;7;2;5;39813199514
46;Não;1;1;1;2;10;8;2;8;16;2;22;5;2;4;9749140545
30;Não;1;2;0;0;10;2;8;1;10;3;12;1;0;10;71077362627
35;Não;1;0;1;0;5;1;4;1;6;0;18;1;4;6;66784325537
55;Não;1;2;0;1;20;0;0;3;24;2;14;1;0;1;38374293768
38;Não;0;1;1;0;10;1;11;7;17;0;12;6;9;13;22301073401
34;Não;1;2;1;0;8;3;2;1;5;2;15;1;3;5;21274455580
56;Não;1;0;0;0;14;3;4;4;37;0;11;7;2;6;84221442030
23;Não;1;1;3;1;4;6;0;3;3;3;13;2;0;0;48905572854
51;Não;1;2;0;0;4;2;2;3;10;1;23;9;3;4;43780241570
30;Não;1;2;0;0;8;4;10;1;11;0;19;2;8;11;40495088134
46;Sim;1;0;1;1;19;0;8;1;9;2;16;9;7;9;41368323215
40;Não;1;2;0;0;27;4;3;1;22;1;22;1;11;22;34102438918
51;Não;1;0;2;1;10;0;7;0;11;1;22;21;0;10;35723454653
30;Não;0;1;1;1;10;0;8;1;11;2;12;4;7;11;74904557095
46;Não;1;2;1;0;21;4;9;2;21;0;13;1;5;10;33764498959
32;Não;1;0;1;1;10;0;8;1;12;1;16;6;7;11;75319603941
54;Não;0;2;3;0;27;7;3;9;16;1;12;2;3;4;38156449833
24;Não;0;2;4;1;9;0;2;0;4;2;21;3;2;3;91757020624
28;Não;1;2;1;1;8;0;4;1;5;0;15;4;4;5;28839358665
58;Não;1;0;1;1;27;0;10;0;38;1;13;10;8;37;25359432670
44;Não;1;2;1;0;4;2;2;4;17;0;12;23;2;3;71588290665
37;Sim;1;1;5;2;4;8;2;4;7;1;22;6;2;3;36838207618
32;Não;1;0;0;0;5;1;0;1;1;3;13;1;0;1;95179316860
20;Sim;0;0;0;0;5;2;0;1;1;0;18;6;0;1;98351041716
34;Não;0;0;4;0;9;1;13;1;16;1;14;6;10;16;67360083513
37;Não;1;1;0;0;10;4;0;5;17;2;14;2;0;1;86091638944
59;Não;0;2;5;2;30;5;2;9;30;1;21;2;2;3;87660704695
50;Não;0;2;0;0;30;7;3;3;28;0;19;1;7;8;64124830685
25;Sim;1;0;2;1;11;0;4;1;6;0;11;5;3;6;97558539466
25;Não;1;2;1;0;5;1;2;1;2;3;11;7;1;2;1552087422
22;Não;0;0;1;0;5;2;0;1;1;0;15;15;0;0;24280724565
51;Não;0;0;1;0;14;4;12;3;23;1;20;1;8;13;60880967980
34;Sim;1;0;0;0;12;2;7;1;9;0;24;7;6;9;36745765312
54;Não;0;0;5;2;30;5;3;2;23;0;12;26;4;5;46964096265
24;Não;1;2;0;0;5;2;3;0;6;3;12;18;2;5;80200357316
34;Não;0;1;0;0;9;1;0;6;12;1;15;6;0;1;931230155
37;Não;1;0;0;1;14;0;3;2;12;0;12;3;3;5;85720603162
34;Não;0;0;1;0;23;5;10;2;14;0;12;5;8;11;34447743971
36;Não;0;2;3;1;19;0;7;0;10;2;14;11;8;9;83782397334
36;Não;0;1;0;0;5;2;0;5;7;2;22;3;0;1;8306306810
43;Não;1;2;0;1;30;5;12;1;25;2;12;26;12;25;43444485408
30;Não;1;1;0;0;5;1;7;1;10;0;25;23;9;10;17309239247
33;Não;1;2;2;1;12;0;7;0;8;2;13;22;7;7;63894141322
56;Sim;0;2;0;0;9;1;4;9;7;1;18;14;3;5;38555259977
51;Não;1;0;0;0;30;7;18;7;23;0;13;6;15;20;98397761204
31;Sim;1;2;0;1;12;0;7;4;12;1;18;6;7;7;27438819585
26;Não;0;2;4;0;4;1;4;1;5;0;19;6;3;5;80511826080
58;Sim;0;2;1;0;20;4;10;1;40;1;12;23;6;40;16450770976
19;Sim;1;0;2;1;3;6;0;1;0;3;19;22;0;0;68660307820
22;Não;1;2;3;0;5;2;1;0;3;3;14;2;1;2;95752987878
49;Não;0;2;1;0;13;3;11;1;16;1;14;20;11;15;36538537839
43;Não;0;0;1;0;9;1;2;4;18;0;12;28;2;3;93407475958
50;Não;0;0;2;1;18;0;2;4;16;0;11;12;1;2;54842000850
31;Sim;0;2;0;1;9;0;2;3;4;0;11;20;2;2;48050952420
41;Não;1;1;0;1;16;0;7;3;12;3;13;9;7;9;64412200019
26;Não;0;2;0;2;5;8;7;1;8;3;23;25;7;8;49676517156
36;Não;1;1;1;0;9;3;2;6;7;2;20;6;1;3;89767319421
51;Sim;1;0;0;0;21;3;2;2;18;1;15;8;3;4;26394798980
39;Não;0;2;0;1;11;0;11;4;17;1;14;4;9;15;61624207259
25;Não;1;2;0;1;17;0;2;2;6;0;18;28;2;2;60318414009
30;Não;1;2;5;2;12;8;9;0;12;0;19;9;7;11;50622287343
32;Sim;0;0;1;0;8;2;4;7;10;0;22;9;4;5;44908070244
45;Não;1;0;1;0;6;1;5;5;9;0;13;29;3;6;84273149316
38;Não;0;0;3;0;8;1;2;3;19;4;20;3;2;3;53524047946
30;Não;0;0;0;0;5;1;4;1;5;0;14;18;4;5;72363241463
32;Não;1;1;1;1;9;0;7;0;9;2;17;9;7;8;16304909858
30;Não;0;1;3;0;6;1;2;5;8;0;14;5;2;3;48184182994
30;Não;1;0;1;0;5;2;3;0;6;3;13;2;2;5;62077963701
41;Não;1;1;0;0;30;5;6;4;21;0;13;10;7;7;24091670091
41;Não;1;2;0;0;4;2;0;2;7;1;21;9;4;5;90169347408
19;Não;0;0;1;0;2;2;0;1;1;3;14;3;0;1;16340824793
40;Não;0;1;1;0;11;1;7;1;20;0;11;26;13;20;6738705081
35;Não;1;2;2;1;14;0;8;1;10;4;13;1;6;10;69125333631
53;Não;1;2;2;1;4;6;7;2;13;2;20;6;5;7;67830179649
45;Não;1;1;0;0;4;2;9;8;20;0;18;9;15;17;33831882000
32;Não;0;0;2;1;17;0;8;1;9;0;14;8;7;9;64417808581
29;Não;1;2;3;0;8;3;7;1;10;3;13;1;9;10;25135789691
51;Não;1;2;1;0;12;3;0;2;10;1;17;7;0;1;14091412180
58;Não;0;2;1;0;6;1;0;4;9;0;20;9;0;1;62102911487
40;Não;1;2;2;1;21;0;11;7;15;1;11;4;11;12;80388042163
34;Não;0;2;2;1;4;6;3;6;6;1;18;2;2;4;33889215002
22;Não;1;2;1;0;4;1;2;1;2;3;24;19;2;2;53774747971
27;Não;1;1;1;0;4;1;2;6;6;0;18;9;2;2;91892318433
28;Não;1;2;1;0;5;1;2;1;5;0;11;21;2;5;9984617239
57;Não;1;1;0;0;18;4;3;3;12;2;16;24;4;5;79777496314
27;Não;1;1;1;0;5;1;1;1;1;0;15;3;1;1;11956409762
50;Não;0;0;0;0;30;5;4;3;21;0;15;11;4;5;94832014074
41;Não;1;1;0;0;4;1;8;4;13;0;12;14;8;9;51144854906
30;Não;0;2;0;1;18;0;9;2;12;0;12;5;4;10;41399968078
38;Não;0;0;0;1;17;0;3;4;12;1;22;1;7;8;51482067656
32;Não;1;0;0;0;6;1;4;3;8;4;20;6;4;5;83266919994
27;Não;1;2;3;0;6;1;2;0;6;0;16;17;1;5;40735153813
19;Sim;0;0;3;1;4;6;0;0;1;3;21;1;0;0;72213481855
36;Não;1;0;1;0;4;2;7;4;13;2;12;3;2;8;72184465534
30;Não;1;1;1;0;6;2;9;1;12;0;11;9;10;12;20651209976
45;Não;0;1;0;1;10;0;4;4;9;2;11;4;3;5;60875616848
56;Não;0;1;0;0;8;1;2;4;19;0;18;8;2;2;90346664099
33;Não;1;0;0;0;5;1;1;0;4;0;14;2;2;3;12509596730
19;Sim;1;0;0;0;2;2;0;1;1;0;22;2;0;1;93862079966
46;Não;0;1;2;1;20;0;13;1;24;2;25;1;7;24;95529376618
38;Não;0;0;0;0;4;2;2;1;2;2;12;9;1;2;42888679706
31;Não;0;2;1;0;7;1;2;8;7;3;23;12;2;4;67240547466
34;Não;0;0;1;0;4;1;2;2;9;2;15;27;2;3;2517901935
41;Sim;0;0;2;1;6;6;3;1;4;2;22;20;2;4;22372522107
50;Não;1;2;1;0;7;2;2;2;5;0;15;1;2;3;55309107099
53;Não;0;1;1;0;8;3;2;1;5;2;11;13;3;4;77428841777
33;Não;0;2;1;0;5;1;7;1;8;0;13;14;6;8;60501411777
40;Não;0;2;1;0;30;5;8;1;21;3;14;4;9;20;55423387263
55;Não;1;0;1;0;30;7;15;8;36;1;11;14;15;24;67881548840
34;Não;1;2;0;0;19;3;9;1;10;3;17;2;9;10;46453985242
51;Não;0;0;1;0;27;4;7;3;21;0;18;3;0;7;20966001637
52;Não;1;2;0;0;30;5;18;0;34;1;14;1;9;33;41540822380
27;Não;0;0;1;0;4;1;7;1;7;0;16;9;3;7;63610446628
35;Sim;1;2;0;0;11;3;0;3;8;2;13;23;1;1;15692618298
43;Não;1;1;1;0;4;1;4;4;7;0;14;7;2;5;61504149515
45;Não;1;2;1;0;30;5;8;9;22;2;23;2;8;20;8881768868
37;Não;1;2;0;0;7;1;7;1;8;0;12;21;7;8;62423933444
35;Não;0;0;1;0;8;2;2;5;10;0;11;2;2;6;79317443307
42;Não;0;1;1;0;10;3;3;2;11;2;16;21;2;5;63238588207
38;Não;1;2;0;0;13;3;0;9;14;1;14;2;0;1;69338382339
38;Não;1;2;3;0;12;3;7;3;9;0;18;29;7;7;88205275567
27;Não;1;2;3;0;8;3;2;5;6;3;19;1;0;2;32791360746
49;Não;1;1;0;0;13;3;7;1;7;1;15;18;7;7;7169263295
34;Não;1;1;1;0;7;1;3;1;5;1;17;10;0;5;83126549017
40;Não;1;2;1;0;5;2;2;8;15;2;15;19;7;7;59902871043
38;Sim;1;2;1;0;13;4;0;7;17;3;19;29;0;1;33609525693
29;Sim;0;2;2;1;15;0;4;1;10;0;22;27;9;10;91830343129
22;Não;1;1;0;0;4;1;2;1;4;0;16;5;2;4;47183191069
36;Não;0;0;1;0;4;2;1;1;8;3;13;18;7;8;70381638991
40;Não;1;2;0;0;9;4;2;9;5;4;14;9;2;3;14369795443
46;Não;1;1;1;0;18;4;2;7;17;1;16;1;3;4;1194123574
32;Sim;1;2;1;1;20;0;8;1;14;1;11;4;8;14;38344588108
30;Não;1;0;0;0;16;3;8;1;12;3;22;1;8;11;37711762719
27;Não;0;0;0;1;19;0;7;1;7;0;14;20;7;7;59166136592
51;Não;1;2;0;0;24;7;9;5;16;1;16;8;7;10;2741131283
30;Sim;0;0;3;0;5;1;2;5;8;0;11;3;4;5;74540616456
41;Não;0;0;0;1;27;5;0;3;16;0;18;6;0;1;63313223917
30;Sim;0;0;2;1;13;0;3;5;9;1;15;26;1;6;13194550452
29;Sim;1;0;3;0;4;1;2;0;7;0;14;1;5;6;59002308139
45;Não;0;0;1;1;17;0;7;6;23;0;12;6;8;19;78686690860
54;Não;0;2;2;1;11;0;2;2;16;0;14;3;5;6;35089136646
36;Não;1;0;0;0;11;2;11;8;16;2;16;5;7;13;23423202559
33;Não;0;2;1;0;5;1;2;6;7;1;21;4;1;3;5524697939
37;Não;1;1;4;0;24;7;8;1;10;0;14;11;7;10;86237425776
38;Não;1;1;0;1;21;0;10;0;17;0;12;3;13;16;89265851848
31;Não;1;2;1;0;8;3;4;0;6;1;12;1;4;5;72519035959
59;Não;1;2;0;0;4;1;0;3;7;0;17;3;0;1;34407958879
37;Não;1;1;2;1;5;6;8;4;13;1;17;4;8;9;14673865017
29;Não;0;2;1;1;15;0;10;1;11;3;14;1;1;11;60610115795
35;Não;0;0;2;1;17;0;7;1;10;0;14;1;8;10;7640793677
29;Sim;1;0;1;0;4;1;3;1;4;3;13;18;1;4;82474518065
52;Não;0;0;0;0;6;2;2;7;6;0;15;2;2;2;61737224479
42;Não;1;2;3;0;30;5;17;1;22;2;11;4;15;22;94542532751
59;Não;1;2;1;2;4;8;2;8;7;2;17;6;2;2;7210334745
50;Não;0;1;1;1;30;5;0;3;32;1;11;1;6;7;38924622310
33;Sim;1;2;1;0;4;2;4;5;8;0;13;14;4;5;24288194571
43;Não;0;2;2;1;30;5;13;5;22;0;22;16;9;17;74114798026
33;Sim;0;2;0;0;5;2;7;7;13;2;20;2;7;9;60453992887
52;Não;1;0;0;1;30;5;7;1;33;1;18;2;12;33;67394824653
32;Não;0;2;0;1;7;6;3;2;6;2;11;4;2;4;30078042185
32;Sim;1;0;0;0;7;2;2;0;4;0;14;1;2;3;86545860665
39;Não;0;1;1;0;4;2;2;7;7;1;14;1;2;3;35469440847
32;Não;1;2;2;1;8;0;2;0;4;1;18;26;2;3;81016406142
41;Não;1;1;0;0;6;1;0;2;17;2;16;19;0;1;75136436879
40;Não;1;1;3;0;6;1;8;1;9;2;17;24;7;9;33617233384
45;Não;1;2;4;0;30;5;0;0;25;0;11;1;7;24;97526388569
31;Não;1;1;1;0;27;7;2;9;9;1;12;3;2;2;84981717236
33;Não;0;2;0;0;5;1;2;1;2;1;13;5;2;2;38710613515
34;Não;1;2;0;0;11;3;9;6;13;1;13;2;9;11;34185049825
37;Não;0;2;1;0;7;1;1;2;17;2;14;1;2;3;39936746020
45;Não;1;2;0;0;12;3;2;4;9;1;17;7;2;3;64627752749
37;Sim;1;1;1;0;20;3;0;6;17;0;11;10;0;1;99170492899
39;Não;0;0;3;0;21;4;6;0;20;1;25;2;8;19;74289937199
29;Não;1;0;0;0;4;1;5;1;6;0;19;15;5;6;22508221832
42;Não;0;0;0;0;13;1;2;3;10;2;13;17;2;3;65687520829
29;Não;1;1;2;1;13;0;2;2;10;2;14;20;2;3;18467974053
25;Não;0;2;0;0;9;3;2;0;5;0;12;1;2;4;88923808247
42;Não;0;1;1;0;5;2;6;0;10;0;11;2;8;9;11678962767
40;Não;1;1;1;0;30;7;7;0;22;2;19;2;9;21;86980360458
51;Não;1;2;0;0;5;1;0;1;1;0;11;1;0;1;65458713134
31;Sim;1;0;1;0;6;2;4;0;6;2;11;29;4;5;17414215827
32;Não;1;2;0;0;5;2;1;1;5;0;20;7;3;5;65374101036
38;Não;1;2;0;1;10;0;7;3;13;2;18;2;5;8;90393333827
32;Não;1;0;3;0;4;2;2;4;9;3;13;2;4;6;73635660714
46;Não;0;2;3;1;30;5;7;3;28;0;12;2;7;7;15047883675
28;Sim;1;0;0;0;6;2;0;2;5;1;11;2;0;0;76219922775
29;Não;1;2;1;1;13;0;0;2;10;0;19;2;0;0;92298254496
31;Não;1;2;1;0;11;4;0;0;10;0;21;23;8;9;95462077718
25;Não;1;1;0;0;8;4;3;1;6;2;12;5;5;6;50217086584
45;Não;1;2;1;0;26;4;7;0;21;2;14;20;10;20;23244022490
36;Não;1;2;0;0;6;2;13;0;16;0;11;6;11;15;56524702588
55;Não;1;0;1;0;30;5;10;0;37;0;14;1;13;36;67248014034
47;Sim;1;2;0;0;23;5;7;1;10;1;12;29;9;10;61970021478
28;Não;1;2;1;0;4;1;2;1;5;0;23;9;4;5;32271291299
37;Não;1;2;1;1;13;0;4;4;7;1;14;6;1;5;56158423261
21;Não;1;0;1;0;6;1;2;1;3;2;17;3;0;3;87112107872
37;Não;0;1;1;0;27;7;2;2;15;1;18;1;2;5;61672368029
35;Não;0;1;0;0;23;5;7;7;10;0;18;22;2;7;22721639502
38;Não;0;1;1;1;11;0;0;1;8;2;24;7;7;8;49236237406
26;Não;0;1;0;0;12;3;5;1;6;0;20;1;4;6;67666362470
50;Não;1;1;0;0;30;7;4;3;28;3;14;4;6;10;77183522131
53;Não;1;2;1;0;30;7;3;3;21;1;16;3;3;5;77643922702
42;Não;1;2;0;1;9;0;16;1;20;3;25;1;6;20;52866273938
29;Não;1;0;0;1;9;0;7;1;10;2;18;2;9;10;63681000821
55;Não;1;2;3;0;10;2;7;3;12;2;19;20;8;10;78069134488
26;Não;1;2;1;0;9;4;3;1;5;2;13;11;3;5;31420369724
37;Não;0;0;0;0;4;1;12;1;17;0;12;1;7;17;87122923592
44;Sim;1;1;0;0;6;2;0;3;19;0;22;24;0;1;48619133702
38;Não;1;1;0;0;11;4;2;9;10;1;14;23;2;2;3468141375
26;Sim;1;1;1;0;4;2;2;2;5;1;13;16;2;3;84981680684
28;Não;0;0;0;0;6;1;3;1;5;2;21;8;2;5;42087763942
49;Não;0;0;0;0;30;7;2;9;22;1;11;10;2;3;28682113281
36;Não;1;0;3;0;8;1;0;4;10;0;12;3;7;8;325970059
31;Não;0;1;2;1;5;6;2;1;2;0;11;5;2;2;55343770310
26;Sim;1;0;2;1;11;0;7;1;8;1;12;4;4;8;88602832808
37;Não;1;2;1;0;4;1;2;1;4;0;12;9;2;4;87394604840
42;Não;0;2;2;1;27;0;4;5;23;0;14;26;8;20;62032747392
18;Sim;1;0;0;0;2;2;0;1;0;0;13;3;0;0;17207520412
35;Não;1;2;2;1;16;0;9;0;12;0;15;16;9;11;10519635385
36;Não;1;2;0;0;7;2;0;4;4;1;18;18;0;1;56571815045
51;Não;1;1;1;0;10;3;1;5;13;0;18;2;2;4;56013287350
41;Não;1;0;0;1;30;5;10;1;22;1;19;2;4;22;55086647851
18;Não;0;0;1;1;2;6;0;1;0;0;12;10;0;0;91869635737
28;Não;1;0;1;0;11;4;3;0;9;2;19;16;7;8;60967117305
31;Não;1;2;3;1;13;0;7;4;10;0;11;7;7;8;25472902008
39;Não;1;1;1;0;19;4;10;0;19;0;17;1;7;18;63015731066
36;Não;0;2;0;0;11;2;8;7;11;1;15;24;8;9;42017009066
32;Não;1;2;0;1;10;0;8;1;13;0;14;7;8;13;43428410065
38;Não;0;2;0;0;24;7;8;3;19;2;17;25;1;10;27257714367
58;Não;1;1;0;0;11;4;3;2;12;1;13;1;2;5;22743955307
31;Não;1;2;3;0;9;1;2;0;6;1;12;5;3;5;45691435921
31;Não;1;2;5;2;12;8;2;3;9;0;12;2;0;2;18963529507
45;Não;1;1;0;0;10;2;9;1;24;0;18;7;11;24;85454960701
31;Não;1;1;0;0;5;1;2;0;3;1;18;2;2;2;49425576700
33;Não;0;2;0;0;23;5;6;6;12;1;11;5;8;10;12249344712
39;Não;1;2;1;0;30;5;9;1;21;3;14;10;10;21;69946330309
43;Não;0;0;0;0;4;2;7;0;9;1;19;10;7;8;39733108782
49;Não;0;0;3;0;27;4;1;7;25;2;12;1;7;7;84069387286
52;Sim;1;2;1;0;9;1;2;2;11;1;15;8;7;8;91216879274
27;Não;0;0;0;0;4;1;3;1;4;0;12;5;2;4;5788214241
32;Não;0;2;3;1;10;0;12;1;13;2;11;8;9;13;31944066186
27;Não;1;0;0;1;8;0;4;1;5;0;11;2;4;5;52562718064
31;Não;1;1;2;1;15;0;7;4;13;0;12;7;7;7;40587335529
32;Não;0;0;1;0;10;1;7;7;10;1;16;2;7;7;17721725274
28;Sim;1;2;1;0;6;1;2;5;5;1;13;2;2;3;87946727733
30;Não;0;2;1;0;11;1;8;1;11;2;13;28;9;10;80499285862
31;Não;0;2;0;0;17;3;9;1;10;2;24;7;9;10;3978376676
39;Não;1;2;1;0;30;5;9;1;21;2;15;7;3;21;25519340119
39;Sim;0;2;1;1;10;0;0;4;12;2;18;3;0;1;66585212005
33;Não;1;0;2;1;9;0;7;3;9;0;14;10;1;7;34877209934
47;Não;1;2;0;0;30;7;2;4;21;4;11;5;1;3;15689817187
43;Não;0;1;0;0;10;2;7;1;9;1;11;10;0;9;82531770264
27;Não;1;2;2;1;12;0;4;0;6;3;13;1;4;5;877014107
54;Não;0;0;0;0;9;1;3;3;20;1;12;20;3;4;49627116123
43;Não;0;2;0;0;19;4;0;8;10;0;16;7;0;1;53140226249
45;Não;1;2;4;0;7;1;9;9;12;1;14;8;8;10;42650921562
40;Não;1;2;1;1;14;0;3;2;6;2;22;1;2;4;36356708439
29;Sim;1;2;4;0;4;2;7;1;7;1;11;8;7;7;55731133166
29;Não;1;0;4;0;7;2;2;0;4;4;17;9;2;3;90852552069
30;Não;0;1;2;1;12;0;9;1;10;0;13;5;2;10;70181327703
27;Não;0;2;2;1;12;0;7;1;8;1;18;8;7;8;21217090533
37;Não;1;1;1;0;12;3;2;7;8;2;16;5;4;6;88108656088
38;Não;1;1;0;0;23;7;10;0;12;2;14;15;9;11;2798908790
31;Não;0;0;1;0;14;3;9;1;11;1;14;7;10;11;93035078350
29;Não;0;1;2;1;16;0;7;1;7;3;14;10;7;7;67277607375
35;Não;1;0;3;0;16;3;6;0;17;1;13;5;13;16;56725560380
23;Não;1;1;0;0;5;1;2;1;4;3;12;26;2;4;37235696133
41;Não;1;0;1;0;12;3;4;6;8;0;15;6;2;5;59456038443
47;Não;1;0;1;1;5;6;0;3;5;3;19;4;0;0;19797272865
42;Não;0;0;0;0;30;7;0;2;16;4;14;23;0;1;43754017522
29;Não;1;2;0;1;9;0;3;1;4;0;14;2;2;4;29800869008
42;Não;1;1;3;2;5;8;2;0;4;3;11;2;0;3;28945738445
32;Não;0;2;1;0;4;2;0;1;8;0;13;2;7;8;94626624793
48;Não;0;2;1;1;25;5;0;3;15;3;21;29;0;0;7922253423
37;Não;1;1;1;0;11;1;7;4;13;0;13;6;7;7;59088479614
30;Não;0;2;3;1;9;0;2;7;4;2;12;25;2;2;68381366469
26;Não;1;2;0;1;10;0;7;1;8;0;17;1;7;8;14273147846
42;Não;1;0;4;0;13;4;0;3;14;1;23;2;0;1;44472320438
21;Sim;0;0;3;1;4;6;2;1;3;3;11;1;2;3;10407376289
36;Não;0;0;1;1;13;0;0;4;7;4;15;1;0;1;2342349370
